[18:24:29] [INFO] received Windows console close event; shutting log-core down
[18:26:37] [INFO] received Windows console close event; shutting log-core down
[18:27:52] [INFO] received Windows console close event; shutting log-core down
[22:49:11] [INFO] received Windows console close event; shutting log-core down
[22:55:36] [INFO] received Windows console close event; shutting log-core down
[22:57:37] [INFO] received Windows console close event; shutting log-core down
[23:00:47] [INFO] received Windows console close event; shutting log-core down
[16:33:12] [INFO] received Windows console close event; shutting log-core down
[16:37:41] [INFO] received Windows console close event; shutting log-core down
[16:38:58] [INFO] received Windows console close event; shutting log-core down
[17:46:49] [INFO] received Windows console close event; shutting log-core down
[17:57:16] [INFO] received Windows console close event; shutting log-core down
[18:06:43] [INFO] received Windows console close event; shutting log-core down
[16:56:04] [INFO] received Windows console close event; shutting log-core down
[16:58:23] [INFO] received Windows console close event; shutting log-core down
[16:59:26] [INFO] received Windows console close event; shutting log-core down
[17:22:53] [INFO] received Windows console close event; shutting log-core down
[17:32:19] [INFO] received Windows console close event; shutting log-core down
[18:05:06] [INFO] received Windows console close event; shutting log-core down
[18:09:11] [INFO] received Windows console close event; shutting log-core down
[18:37:47] [INFO] received Windows console close event; shutting log-core down
[18:38:54] [INFO] received Windows console close event; shutting log-core down
[18:39:43] [INFO] received Windows console close event; shutting log-core down
[20:30:06] [INFO] received Windows console close event; shutting log-core down
[20:31:37] [INFO] received Windows console close event; shutting log-core down
[20:34:14] [INFO] received Windows console close event; shutting log-core down
[20:36:58] [INFO] received Windows console close event; shutting log-core down
[20:54:33] [INFO] received Windows console close event; shutting log-core down
[20:55:10] [INFO] received Windows console close event; shutting log-core down
[21:13:47] [INFO] received Windows console close event; shutting log-core down
[21:38:24] [INFO] received Windows console close event; shutting log-core down
[21:45:24] [INFO] received Windows console close event; shutting log-core down
[22:06:39] [INFO] received Windows console close event; shutting log-core down
[22:22:02] [INFO] received Windows console close event; shutting log-core down
[20:38:57] [INFO] received Windows console close event; shutting log-core down
[20:42:03] [INFO] received Windows console close event; shutting log-core down
[20:46:20] [INFO] received Windows console close event; shutting log-core down
[21:03:44] [INFO] received Windows console close event; shutting log-core down
[21:06:54] [INFO] received Windows console close event; shutting log-core down
[21:08:14] [INFO] received Windows console close event; shutting log-core down
[21:09:37] [INFO] received Windows console close event; shutting log-core down
[22:10:22] [INFO] received Windows console close event; shutting log-core down
[22:46:47] [INFO] received Windows console close event; shutting log-core down
[18:52:58] [INFO] received Windows console close event; shutting log-core down
